gene_id	gene_symbol	ensg	hgnc_id	disease_term_id	disease_name	matching_hpo_terms	modes_of_inheritance	mode_of_inheritance_curies	classifications	evidence_sources	source_evidence	assertion_count
8254	ABCD4	ENSG00000119688	HGNC:68	MONDO:0013925	methylmalonic acidemia with homocystinuria, type cblJ	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AR', 'Autosomal recessive']	['HP:0000007']	['Moderate', 'Strong']	['Ambry Genetics', 'ClinGen', 'G2P', 'Labcorp Genetics (formerly Invitae)', 'Orphanet', 'PanelApp Australia']	[{'source': 'Orphanet'}, {'moi': 'AR', 'source': 'ClinGen', 'classification': 'Moderate', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	6
8408	ACP5	ENSG00000102575	HGNC:124	MONDO:0011939	Spondyloenchondrodysplasia with immune dysregulation	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal recessive']	['HP:0000007']	['Definitive', 'Strong']	['G2P', 'Labcorp Genetics (formerly Invitae)', 'Orphanet', 'PanelApp Australia']	[{'source': 'Orphanet'}, {'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	4
8726	ADIPOQ	ENSG00000181092	HGNC:13633	MONDO:0014414	STAT3-related early-onset multisystem autoimmune disease	[{'label': 'Autoimmune neutropenia', 'term_id': 'HP:0001904'}]	['Unknown']	['HP:0000005']	['Limited']	['Labcorp Genetics (formerly Invitae)']	[{'moi': 'Unknown', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000005', 'classification': 'Limited', 'classification_scheme': 'GenCC gene-disease validity classification'}]	1
8805	AGA	ENSG00000038002	HGNC:318	MONDO:0008830	aspartylglucosaminuria	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AR', 'Autosomal recessive']	['HP:0000007']	['Definitive', 'Strong']	"['ClinGen', 'G2P', 'Genomics England PanelApp', 'Labcorp Genetics (formerly Invitae)', ""Myriad Women's Health"", 'Natera', 'Orphanet', 'PanelApp Australia']"	"[{'source': 'Orphanet'}, {'moi': 'AR', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Genomics England PanelApp', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': ""Myriad Women's Health"", 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Natera', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]"	8
19153	AP3B1	ENSG00000132842	HGNC:566	MONDO:0011997	Hermansky-Pudlak syndrome 2	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AR', 'Autosomal recessive']	['HP:0000007']	['Definitive', 'Strong']	['ClinGen', 'G2P', 'Labcorp Genetics (formerly Invitae)', 'Orphanet', 'PanelApp Australia']	[{'source': 'Orphanet'}, {'moi': 'AR', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	5
19155	AP3D1	ENSG00000065000	HGNC:568	MONDO:0014885	Hermansky-Pudlak syndrome 10	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AR', 'Autosomal recessive', 'Unknown']	['HP:0000005', 'HP:0000007']	['Limited', 'Moderate', 'Strong']	['Ambry Genetics', 'ClinGen', 'Labcorp Genetics (formerly Invitae)', 'Orphanet', 'PanelApp Australia']	[{'source': 'Orphanet'}, {'moi': 'AR', 'source': 'ClinGen', 'classification': 'Moderate', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Unknown', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000005', 'classification': 'Limited', 'classification_scheme': 'GenCC gene-disease validity classification'}]	5
29977	BLNK	ENSG00000095585	HGNC:14211	MONDO:0013289	agammaglobulinemia 4, autosomal recessive	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AR', 'Autosomal recessive']	['HP:0000007']	['Definitive', 'Moderate', 'Strong']	['Ambry Genetics', 'ClinGen', 'Labcorp Genetics (formerly Invitae)', 'LiferaOmics', 'PanelApp Australia']	[{'moi': 'AR', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'LiferaOmics', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	5
30308	BTK	ENSG00000010671	HGNC:1133	MONDO:0010421	Bruton-type agammaglobulinemia	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['XL', 'X-linked']	['HP:0001417']	['Definitive', 'Strong']	"['ClinGen', ""Myriad Women's Health"", 'Orphanet', 'PanelApp Australia']"	"[{'source': 'Orphanet'}, {'moi': 'XL', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'X-linked', 'source': ""Myriad Women's Health"", 'moi_curie': 'HP:0001417', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'X-linked', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0001417', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]"	4
39909	C1GALT1C1	ENSG00000171155	HGNC:24338	MONDO:0957495	hemolytic uremic syndrome, atypical, 8, with rhizomelic short stature	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['XL', 'X-linked']	['HP:0001417']	['Limited']	['Ambry Genetics', 'ClinGen']	[{'moi': 'XL', 'source': 'ClinGen', 'classification': 'Limited', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'X-linked', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0001417', 'classification': 'Limited', 'classification_scheme': 'GenCC gene-disease validity classification'}]	2
40387	CAMK2B	ENSG00000058404	HGNC:1461	MONDO:0030920	intellectual disability, autosomal dominant 54	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal dominant']	['HP:0000006']	['Strong']	['G2P', 'Labcorp Genetics (formerly Invitae)']	[{'moi': 'Autosomal dominant', 'source': 'G2P', 'moi_curie': 'HP:0000006', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal dominant', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000006', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	2
